Time,Open,High,Low,Close,Volume
2022-11-28T06:00:00+0000,1855.0,1855.0,1833.9,1835.5,279
2022-11-29T06:00:00+0000,1843.6,1851.2,1842.1,1842.9,116
2022-11-30T06:00:00+0000,1844.0,1863.2,1839.7,1839.7,353
2022-12-01T06:00:00+0000,1866.1,1896.3,1866.1,1893.6,596
2022-12-02T06:00:00+0000,1894.0,1894.0,1871.2,1888.5,845
2022-12-05T06:00:00+0000,1900.0,1900.0,1858.0,1860.7,393
2022-12-06T06:00:00+0000,1863.2,1869.3,1861.3,1861.5,685
2022-12-07T06:00:00+0000,1862.5,1881.4,1861.2,1876.4,109
2022-12-08T06:00:00+0000,1872.4,1881.4,1872.0,1879.6,48
2022-12-09T06:00:00+0000,1886.0,1895.7,1884.4,1888.7,31
2022-12-12T06:00:00+0000,1885.9,1885.9,1869.9,1870.2,77
2022-12-13T06:00:00+0000,1870.5,1911.3,1870.5,1903.0,463
2022-12-14T06:00:00+0000,1895.4,1900.2,1895.4,1896.1,170
2022-12-15T06:00:00+0000,1881.4,1881.4,1862.0,1865.4,88
2022-12-16T06:00:00+0000,1869.7,1877.8,1864.5,1877.8,47
2022-12-19T06:00:00+0000,1879.4,1879.4,1873.3,1875.4,731
2022-12-20T06:00:00+0000,1888.1,1908.4,1888.1,1903.5,405
2022-12-21T06:00:00+0000,1903.0,1911.0,1903.0,1903.9,96
2022-12-22T06:00:00+0000,1894.7,1894.7,1873.2,1873.2,78
2022-12-23T06:00:00+0000,1879.0,1884.0,1878.6,1882.5,545
2022-12-27T06:00:00+0000,1887.9,1916.8,1886.7,1902.7,92
2022-12-28T06:00:00+0000,1897.8,1897.9,1890.0,1895.1,603
2022-12-29T06:00:00+0000,1892.5,1905.7,1891.1,1905.7,31
2022-12-30T06:00:00+0000,1900.8,1910.6,1900.8,1906.1,232
2023-01-03T06:00:00+0000,1916.4,1934.6,1914.0,1926.2,77
2023-01-04T06:00:00+0000,1934.7,1949.0,1934.5,1940.1,305
2023-01-05T06:00:00+0000,1936.4,1937.4,1914.7,1922.6,766
2023-01-06T06:00:00+0000,1924.0,1954.0,1923.6,1951.3,357
2023-01-09T06:00:00+0000,1956.0,1967.8,1956.0,1959.8,811
2023-01-10T06:00:00+0000,1962.3,1966.8,1958.0,1959.1,850
2023-01-11T06:00:00+0000,1968.9,1970.4,1953.3,1961.3,1597
2023-01-12T06:00:00+0000,1968.4,1985.1,1964.2,1981.2,940
2023-01-13T06:00:00+0000,1982.6,2008.2,1980.4,2005.3,1616
2023-01-17T06:00:00+0000,2004.4,2014.5,1990.6,1993.6,591
2023-01-18T06:00:00+0000,1988.4,2010.0,1983.5,1990.6,392
2023-01-19T06:00:00+0000,1985.9,2017.9,1985.9,2006.4,976
2023-01-20T06:00:00+0000,2016.2,2020.0,2005.7,2010.4,2409
2023-01-23T06:00:00+0000,2008.4,2015.5,1994.9,2011.6,1858
2023-01-24T06:00:00+0000,2016.5,2026.3,2004.7,2020.3,4234
2023-01-25T06:00:00+0000,2021.3,2032.4,2007.6,2027.4,1440
2023-01-26T06:00:00+0000,2028.2,2028.2,2008.0,2014.0,666
2023-01-27T06:00:00+0000,2008.5,2019.0,2003.7,2013.0,276
2023-01-30T06:00:00+0000,2013.0,2017.5,2004.3,2006.8,144
2023-01-31T06:00:00+0000,2007.1,2014.1,1985.0,2013.1,630
2023-02-01T06:00:00+0000,2009.5,2036.4,2004.0,2010.8,802
2023-02-02T06:00:00+0000,2037.0,2042.0,1993.8,1998.5,1178
2023-02-03T06:00:00+0000,1997.0,1998.5,1943.4,1944.2,782
2023-02-06T06:00:00+0000,1941.1,1958.4,1940.4,1947.0,712
2023-02-07T06:00:00+0000,1950.0,1962.2,1945.0,1952.7,304
2023-02-08T06:00:00+0000,1953.1,1962.0,1951.0,1958.9,313
2023-02-09T06:00:00+0000,1958.6,1969.2,1940.0,1947.0,308
2023-02-10T06:00:00+0000,1939.3,1950.8,1933.1,1943.1,152
2023-02-13T06:00:00+0000,1944.0,1945.1,1930.1,1932.2,227
2023-02-14T06:00:00+0000,1934.8,1947.2,1922.5,1934.7,210
2023-02-15T06:00:00+0000,1937.5,1939.5,1910.0,1914.6,1184
2023-02-16T06:00:00+0000,1917.1,1923.7,1906.8,1921.0,222
2023-02-17T06:00:00+0000,1910.0,1922.1,1897.4,1919.5,217
2023-02-21T06:00:00+0000,1922.9,1924.4,1909.5,1912.0,275
2023-02-22T06:00:00+0000,1913.8,1923.5,1902.4,1910.8,796
2023-02-23T06:00:00+0000,1903.1,1910.6,1895.6,1896.4,189
2023-02-24T06:00:00+0000,1903.3,1903.9,1885.9,1886.9,406
2023-02-27T06:00:00+0000,1886.8,1896.0,1884.9,1894.9,231
2023-02-28T06:00:00+0000,1889.2,1908.1,1883.8,1907.1,463
2023-03-01T06:00:00+0000,1901.7,1920.3,1901.7,1916.5,523
2023-03-02T06:00:00+0000,1910.2,1915.9,1907.5,1911.5,400
2023-03-03T06:00:00+0000,1916.5,1933.2,1915.3,1925.6,1085
2023-03-06T06:00:00+0000,1930.0,1930.7,1922.1,1924.9,362
2023-03-07T06:00:00+0000,1922.6,1926.1,1888.8,1891.2,1687
2023-03-08T06:00:00+0000,1888.1,1899.8,1885.2,1891.1,962
2023-03-09T06:00:00+0000,1889.3,1911.2,1888.8,1906.9,696
2023-03-10T06:00:00+0000,1909.0,1945.0,1903.6,1938.0,1448
2023-03-13T05:00:00+0000,1947.5,1983.5,1947.0,1981.8,3347
2023-03-14T05:00:00+0000,1980.0,1983.5,1966.1,1977.1,1460
2023-03-15T05:00:00+0000,1973.7,2002.0,1957.2,1992.3,1694
2023-03-16T05:00:00+0000,1987.5,1999.3,1974.9,1988.8,1271
2023-03-17T05:00:00+0000,1991.0,2057.8,1988.7,2038.8,2002
2023-03-20T05:00:00+0000,2057.0,2077.2,2036.6,2047.6,1991
2023-03-21T05:00:00+0000,2048.6,2051.2,2008.0,2008.4,1532
2023-03-22T05:00:00+0000,2014.0,2049.0,2003.9,2017.3,933
2023-03-23T05:00:00+0000,2036.1,2072.0,2035.7,2062.8,1677
2023-03-24T05:00:00+0000,2059.6,2068.0,2044.2,2049.8,1681
2023-03-27T05:00:00+0000,2042.2,2047.1,2013.6,2021.5,1217
2023-03-28T05:00:00+0000,2032.1,2044.4,2018.2,2041.3,1045
2023-03-29T05:00:00+0000,2043.3,2043.3,2028.5,2035.6,340
